"country","state","city","date","month","max_temperature"
"United States","Washington","","2023-10-11","10","15.97"
"United States","Illinois","Chicago","2023-10-11","10","18.98"
"United States","New York","City of New York","2023-10-11","10","21.68"
"United States","Texas","Dallas","2023-10-11","10","25.76"
"United States","Florida","Jacksonville","2023-10-11","10","24.77"
"United States","Nevada","Las Vegas","2023-10-11","10","30.85"
"United States","California","Los Angeles","2023-10-11","10","24.59"
"United States","Florida","Miami","2023-10-11","10","30.17"
"United States","Florida","Orlando","2023-10-11","10","29.23"
"United States","Florida","Tampa","2023-10-11","10","31.7"
"Việt Nam","","Thành phố Đà Nẵng","2023-10-11","10","29.0"
"Việt Nam","","Thành phố Hà Nội","2023-10-11","10","28.99"
"Việt Nam","Tỉnh Khánh Hòa","Thành phố Nha Trang","2023-10-11","10","33.01"
"United States","Washington","","2023-10-10","10","14.52"
"United States","Illinois","Chicago","2023-10-10","10","16.61"
"United States","New York","City of New York","2023-10-10","10","17.88"
"United States","Texas","Dallas","2023-10-10","10","28.39"
"United States","Florida","Jacksonville","2023-10-10","10","27.43"
"United States","Nevada","Las Vegas","2023-10-10","10","33.13"
"United States","California","Los Angeles","2023-10-10","10","24.18"
"United States","Florida","Miami","2023-10-10","10","32.2"
"United States","Florida","Orlando","2023-10-10","10","28.88"
"United States","Florida","Tampa","2023-10-10","10","29.45"
"Việt Nam","","Thành phố Đà Nẵng","2023-10-10","10","27.0"
"Việt Nam","","Thành phố Hà Nội","2023-10-10","10","29.99"
"Việt Nam","Tỉnh Khánh Hòa","Thành phố Nha Trang","2023-10-10","10","33.01"
"United States","Washington","","2023-10-09","10","18.3"
"United States","Illinois","Chicago","2023-10-09","10","14.05"
"United States","New York","City of New York","2023-10-09","10","16.28"
"United States","Texas","Dallas","2023-10-09","10","31.16"
"United States","Florida","Jacksonville","2023-10-09","10","23.52"
"United States","Nevada","Las Vegas","2023-10-09","10","33.95"
"United States","California","Los Angeles","2023-10-09","10","25.18"
"United States","Florida","Miami","2023-10-09","10","29.97"
"United States","Florida","Orlando","2023-10-09","10","26.6"
"United States","Florida","Tampa","2023-10-09","10","26.07"
"Việt Nam","","Thành phố Đà Nẵng","2023-10-09","10","27.0"
"Việt Nam","","Thành phố Hà Nội","2023-10-09","10","30.99"
"Việt Nam","Tỉnh Khánh Hòa","Thành phố Nha Trang","2023-10-09","10","33.01"
"United States","Washington","","2023-10-08","10","20.87"
"United States","Illinois","Chicago","2023-10-08","10","12.53"
"United States","New York","City of New York","2023-10-08","10","16.22"
"United States","Texas","Dallas","2023-10-08","10","25.69"
"United States","Florida","Jacksonville","2023-10-08","10","23.82"
"United States","Nevada","Las Vegas","2023-10-08","10","33.77"
"United States","California","Los Angeles","2023-10-08","10","29.07"
"United States","Florida","Miami","2023-10-08","10","32.08"
"United States","Florida","Orlando","2023-10-08","10","27.46"
"United States","Florida","Tampa","2023-10-08","10","26.24"
"Việt Nam","","Thành phố Đà Nẵng","2023-10-08","10","31.0"
"Việt Nam","","Thành phố Hà Nội","2023-10-08","10","30.99"
"Việt Nam","Tỉnh Khánh Hòa","Thành phố Nha Trang","2023-10-08","10","33.01"
"United States","Washington","","2023-10-07","10","24.87"
"United States","Illinois","Chicago","2023-10-07","10","14.65"
"United States","New York","City of New York","2023-10-07","10","20.75"
"United States","Texas","Dallas","2023-10-07","10","27.36"
"United States","Florida","Jacksonville","2023-10-07","10","29.33"
"United States","Nevada","Las Vegas","2023-10-07","10","33.55"
"United States","California","Los Angeles","2023-10-07","10","31.72"
"United States","Florida","Miami","2023-10-07","10","31.86"
"United States","Florida","Orlando","2023-10-07","10","31.8"
"United States","Florida","Tampa","2023-10-07","10","31.33"
"Việt Nam","","Thành phố Đà Nẵng","2023-10-07","10","32.0"
"Việt Nam","","Thành phố Hà Nội","2023-10-07","10","31.01"
"Việt Nam","Tỉnh Khánh Hòa","Thành phố Nha Trang","2023-10-07","10","31.01"
