"latitude","longitude","city","state","postcode","country"
"21.027763","105.834160","Thành phố Hà Nội","","11112","Việt Nam"
"12.238791","109.196747","Thành phố Nha Trang","Tỉnh Khánh Hòa","48058","Việt Nam"
"16.054407","108.202164","Thành phố Đà Nẵng","","84236","Việt Nam"
"40.712776","-74.005974","City of New York","New York","10000","United States"
"32.776665","-96.796989","Dallas","Texas","75201","United States"
"36.169941","-115.139832","Las Vegas","Nevada","89101","United States"
"41.878113","-87.629799","Chicago","Illinois","60604","United States"
"47.950356","-124.385490","","Washington","","United States"
"27.950575","-82.457176","Tampa","Florida","33602","United States"
"25.761681","-80.191788","Miami","Florida","33131","United States"
"34.052235","-118.243683","Los Angeles","California","90013","United States"
"28.538336","-81.379234","Orlando","Florida","32801","United States"
"30.318878","-81.690173","Jacksonville","Florida","32204","United States"
